iter	Passed	Remaining
591	3500	2412
592	3505	2406
593	3511	2400
594	3517	2394
595	3523	2388
596	3529	2382
597	3535	2376
598	3541	2370
599	3547	2364
600	3553	2359
601	3559	2353
602	3565	2347
603	3571	2341
604	3577	2335
605	3583	2329
606	3589	2324
607	3596	2318
608	3601	2312
609	3607	2306
610	3613	2300
611	3620	2295
612	3626	2289
613	3632	2283
614	3637	2277
615	3643	2271
616	3650	2265
617	3656	2259
618	3661	2253
619	3667	2247
620	3673	2242
621	3680	2236
622	3686	2230
623	3692	2224
624	3698	2219
625	3704	2212
626	3710	2207
627	3715	2201
628	3721	2195
629	3727	2189
630	3734	2183
631	3739	2177
632	3745	2171
633	3752	2166
634	3757	2159
635	3763	2154
636	3770	2148
637	3776	2143
638	3782	2137
639	3788	2131
640	3794	2125
641	3800	2119
642	3806	2113
643	3812	2107
644	3818	2101
645	3823	2095
646	3830	2089
647	3836	2084
648	3842	2077
649	3847	2071
650	3853	2066
651	3859	2060
652	3865	2054
653	3871	2048
654	3877	2042
655	3882	2036
656	3888	2030
657	3894	2024
658	3900	2018
659	3906	2012
660	3912	2006
661	3918	2000
662	3923	1994
663	3929	1988
664	3935	1982
665	3941	1976
666	3947	1970
667	3953	1964
668	3959	1959
669	3965	1953
670	3971	1947
671	3977	1941
672	3983	1935
673	3989	1929
674	3995	1923
675	4000	1917
676	4006	1911
677	4012	1905
678	4018	1899
679	4024	1893
680	4030	1887
681	4036	1881
682	4041	1875
683	4047	1869
684	4053	1864
685	4060	1858
686	4066	1852
687	4072	1846
688	4078	1840
689	4084	1835
690	4089	1828
691	4095	1822
692	4101	1817
693	4108	1811
694	4114	1805
695	4119	1799
696	4125	1793
697	4131	1787
698	4137	1781
699	4143	1775
700	4149	1769
701	4155	1763
702	4161	1757
703	4166	1751
704	4173	1746
705	4179	1740
706	4184	1734
707	4190	1728
708	4196	1722
709	4203	1716
710	4209	1710
711	4215	1705
712	4221	1699
713	4227	1693
714	4233	1687
715	4239	1681
716	4245	1675
717	4250	1669
718	4256	1663
719	4263	1657
720	4268	1651
721	4274	1645
722	4280	1639
723	4286	1634
724	4292	1628
725	4298	1622
726	4304	1616
727	4310	1610
728	4316	1604
729	4322	1598
730	4327	1592
731	4333	1586
732	4339	1580
733	4345	1574
734	4351	1568
735	4356	1562
736	4362	1556
737	4368	1550
738	4374	1544
739	4380	1538
740	4386	1533
741	4392	1527
742	4398	1521
743	4403	1515
744	4409	1509
745	4415	1503
746	4421	1497
747	4427	1491
748	4433	1485
749	4439	1479
750	4445	1473
751	4451	1467
752	4457	1462
753	4463	1456
754	4468	1450
755	4474	1444
756	4480	1438
757	4486	1432
758	4492	1426
759	4498	1420
760	4504	1414
761	4510	1408
762	4516	1402
763	4521	1396
764	4527	1390
765	4533	1384
766	4539	1378
767	4544	1372
768	4551	1367
769	4557	1361
770	4563	1355
771	4569	1349
772	4574	1343
773	4580	1337
774	4586	1331
775	4592	1325
776	4598	1319
777	4604	1313
778	4610	1307
779	4616	1302
780	4621	1296
781	4627	1290
782	4633	1284
783	4639	1278
784	4644	1272
785	4650	1266
786	4656	1260
787	4662	1254
788	4668	1248
789	4674	1242
790	4680	1236
791	4686	1230
792	4692	1224
793	4697	1218
794	4703	1212
795	4709	1207
796	4715	1201
797	4721	1195
798	4727	1189
799	4733	1183
800	4739	1177
801	4745	1171
802	4751	1165
803	4757	1159
804	4762	1153
805	4768	1147
806	4774	1141
807	4780	1136
808	4786	1130
809	4792	1124
810	4798	1118
811	4804	1112
812	4810	1106
813	4816	1100
814	4821	1094
815	4827	1088
816	4833	1082
817	4839	1076
818	4845	1070
819	4851	1064
820	4857	1058
821	4862	1053
822	4868	1047
823	4873	1041
824	4879	1035
825	4884	1029
826	4890	1023
827	4896	1017
828	4902	1011
829	4908	1005
830	4914	999
831	4920	993
832	4925	987
833	4931	981
834	4937	975
835	4943	969
836	4950	964
837	4955	958
838	4961	952
839	4967	946
840	4973	940
841	4979	934
842	4985	928
843	4990	922
844	4996	916
845	5002	910
846	5007	904
847	5013	898
848	5019	892
849	5025	886
850	5031	880
851	5037	874
852	5042	869
853	5048	863
854	5054	857
855	5060	851
856	5066	845
857	5071	839
858	5077	833
859	5083	827
860	5088	821
861	5094	815
862	5100	809
863	5106	803
864	5111	797
865	5117	791
866	5123	785
867	5129	779
868	5134	774
869	5140	768
870	5146	762
871	5152	756
872	5158	750
873	5164	744
874	5170	738
875	5178	732
876	5184	727
877	5190	721
878	5196	715
879	5202	709
880	5208	703
881	5214	697
882	5219	691
883	5226	685
884	5232	679
885	5238	673
886	5244	668
887	5250	662
888	5256	656
889	5262	650
890	5268	644
891	5274	638
892	5279	632
893	5285	626
894	5292	620
895	5298	614
896	5304	609
897	5310	603
898	5316	597
899	5321	591
900	5327	585
901	5332	579
902	5338	573
903	5344	567
904	5350	561
905	5356	555
906	5362	549
907	5367	543
908	5373	537
909	5379	532
910	5385	526
911	5391	520
912	5397	514
913	5402	508
914	5408	502
915	5414	496
916	5420	490
917	5426	484
918	5431	478
919	5438	472
920	5443	466
921	5449	460
922	5455	455
923	5461	449
924	5467	443
925	5472	437
926	5478	431
927	5484	425
928	5490	419
929	5496	413
930	5502	407
931	5508	401
932	5514	395
933	5519	390
934	5525	384
935	5531	378
936	5537	372
937	5543	366
938	5548	360
939	5554	354
940	5560	348
941	5566	342
942	5571	336
943	5577	330
944	5583	324
945	5589	319
946	5595	313
947	5601	307
948	5607	301
949	5612	295
950	5618	289
951	5625	283
952	5631	277
953	5637	271
954	5642	265
955	5648	259
956	5654	254
957	5660	248
958	5665	242
959	5672	236
960	5677	230
961	5683	224
962	5689	218
963	5695	212
964	5700	206
965	5706	200
966	5712	194
967	5718	189
968	5724	183
969	5730	177
970	5736	171
971	5741	165
972	5747	159
973	5753	153
974	5759	147
975	5764	141
976	5770	135
977	5776	129
978	5782	124
979	5787	118
980	5793	112
981	5799	106
982	5805	100
983	5811	94
984	5817	88
985	5823	82
986	5828	76
987	5836	70
988	5842	64
989	5848	59
990	5854	53
991	5859	47
992	5865	41
993	5871	35
994	5877	29
995	5883	23
996	5889	17
997	5895	11
998	5901	5
999	5907	0
